Sound File          Game Name           Vehicle Name
REGULAR_SALOON_1    Marbelle            MARBELLA
REGULAR_SALOON_1    Willard             WILARD
RIG_1               Bus                 BUS
RIG_2               Flatbed             FLATBED
RIG_2               Phantom             PHANTOM
RIG_3               Biff                BIFF
RIG_3               Firetruck           FIRETRUK
RIG_3               Packer              PACKER
RIG_3               Ripley              RIPLEY
RIG_3               Trashmaster         TRUSH
SUPERCAR_1          Turismo             TURISMO
SUPERCAR_2          Comet               COMET
SUPERCAR_2          Infernus            INFERNUS
SUPERCAR_2          Super GT            SUPER
V8_LUXURY_1         Admiral             ADMIRAL
V8_LUXURY_1         Cognoscenti         COGNONTI
V8_LUXURY_1         PMP 600             PMP600
V8_LUXURY_1         Romero              ROMERO
V8_LUXURY_1         Stretch             STRETCH
V8_LUXURY_1         Washington          WASHINGTON
V8_WAGON            Ambulance           AMBULAN
V8_WAGON            Boxville            BOXVLE
V8_WAGON            Mr. Tasty           MRTASTY
V_STYLE_1           Bobcat              BOBCAT
V_STYLE_1           Rancher             RANCHER
V_STYLE_2           Buccaneer           BUCCNEER
V_STYLE_2           Merit               MERIT
V_STYLE_2           Police Patrol       POLICE2
V_STYLE_2           Taxi (Merit)        TAXI2
V_STYLE_2           Virgo               VIRGO
V_STYLE_3           Emperor             EMPEROR
V_STYLE_3           Emperor (Rusty)     EMPEROR2
V_STYLE_3           NOOSE Cruiser       NOOSE
V_STYLE_3           Police Cruiser      POLICE
V_STYLE_3           Taxi                TAXI
V_STYLE_4           Esperanto           ESPERNTO
V_STYLE_4           Manana              MANANA
V_STYLE_4           Premier             PREMIER
V_STYLE_4           Roman's Taxi        ALBANY
V_STYLE_4           Uranus              URANUS

1000_RACEBIKE		NRG 900				NRG900		
600_STREETBIKE		PCJ 600				PCJ			
CHOPPER_1			Freeway				BOBBER		
CHOPPER_1			Zombie				ZOMB		
CHOPPER_2			Hellfury			HELLFURY	
MOPED				Faggio				FAGGIO		
SANCHEZ				Sanchez				SANCHEZ		

DINGHY				Dinghy				DINGHY		
MARQUIS_SAILBOAT	Marquis				MARQUI		
SPEEDBOAT			Jetmax				JETMAX		
SPEEDBOAT			Police Predator		PREDTOR		
SPEEDBOAT			Squalo				SQUALO		
SPEEDBOAT			Tropic				TROPIC		
TRAWLER				Reefer				REEFER		
TRAWLER				Tug					RUSTBOAT	

HELICOPTER			Annihilator			ANNHIL		
HELICOPTER			Helitours Maverick	TOURMAV		
HELICOPTER			Maverick			MAVERICK	
HELICOPTER			Police Maverick		POLMAV		
